"identifiant","adresse","raison_sociale","nom","code_postal","code_insee","nom_commune","longitude","latitude"
"IDF9102292","RN188 - RD120","MASSY NET",NULL,"91300","91377","Massy","2.27791206965317","48.7247218757897"
"IDF9100441","Gambetta, place","COMBEAU",NULL,"91800","91114","Brunoy","2.48729574169094","48.7014193198742"
"IDF9100085","Nollet, clos","SIEMP",NULL,"91200","91027","Athis-Mons","2.39842047686089","48.7145861296976"
"IDF9100113","Froelinger, 5 place","ROBIEZ",NULL,"91200","91027","Athis-Mons","2.40378488759103","48.7120651716616"
"IDF9100351","Cheneaux, chemin des","FERNANDES","Casse automobile","91220","91103","Brétigny-sur-Orge","2.28210688988098","48.6064168096235"
"IDF9102176","Osiers, chemin des","RAVENEAU",NULL,"91310","91347","Longpont-sur-Orge","2.29673404215835","48.6447854403618"
"IDF9100388","Robiniers, 7 allée des","MISSENARD QUINT",NULL,"91220","91103","Brétigny-sur-Orge","2.3025054190091","48.6195180990301"
"IDF9103106","Petit Saint-Vrain, 5-9 rue du","TRANSMECA",NULL,"91770","91579","Saint-Vrain","2.32495848792967","48.5415481621758"
"IDF9103285",NULL,"ESPACE COMPOSITES","Atelier de transformation de résines","91810","91648","Vert-le-Grand","2.36371867203305","48.5710952440195"
"IDF9103313","Barbusse, 184-188, av. Henri (ex n° 182-184 en 1963 ; RN 448)","BALDIT, ex BALDIT Joseph Entreprise","Commerce de combustibles","91270","91657","Vigneux-sur-Seine","2.43242682258364","48.7034388359294"
"IDF9103314","Barbusse, 221 av. Henri (RN 448)","ITALCAR 91, ex LE GALLOU et Cie","Concessionnaire, carrosserie","91270","91657","Vigneux-sur-Seine","2.43757988477057","48.7053588414961"
"IDF9103322","Couturier, 50 av. Paul Vaillant (ex n°38)","LINCK","Atelier de travail des métaux, ferrailleur","91270","91657","Vigneux-sur-Seine","2.44322993113374","48.6952557557737"
"IDF9102276","Europe, avenue de l'","PHOTO SERVICE + DIM PHOTORAPID + JCA PRESSING (Pressing 5 à sec) + GMB - CORA",NULL,"91300","91377","Massy","2.27711012725471","48.7247304480183"
"IDF9102277","Europe, 188 avenue de l'","RENAULT, ex SAM (Sté des Automobiles de Massy)","Garage","91300","91377","Massy","2.28033031733765","48.7257212967524"
"IDF9102278","France, avenue de","ELF FRANCE, ex UNION GENERALE DE DISTRIBUTION DES PRODUITS PETROLIERS, ex UNION INDUSTRIELLE DES PETROLES","Station service","91300","91377","Massy","2.29006858701501","48.7335853470747"
"IDF9100018","Paris, avenue de  (ex RN 20)","CTIA (CHAUDRONNERIE-TOLERIE INDUSTRIELLE D'ANGERVILLE), ex TAQQUET Claude","Chaudronnerie","91670","91016","Angerville","2.00466353452696","48.3161145650571"
"IDF9100020","Paris, 13-15 avenue de (ex 21 avenue de Paris)","PRODUITS LIBERON, ex SPL (Sté PROMOTIONNELLE DES LOISIRS)","Fabrique de produits d'entretien","91670","91016","Angerville","2.00412803192899","48.3155464710861"
